Attaching to dataclay_logicmodule_1
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,973 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_ENTRIES_INTERFACE_MANAGER_CACHE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,044 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_ENTRIES_CONTRACT_MANAGER_CACHE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,052 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_ENTRIES_CONTRACT_MANAGER_CACHE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,230 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_ENTRIES_METADATASERVICE_CACHE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,240 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_ENTRIES_METADATASERVICE_CACHE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,256 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: NOTIFICATION_MANAGER_ACTIVE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,263 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: NOTIFICATION_MANAGER_ACTIVE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,358 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:342] Creating admin user with name admin and password admin:null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,390 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:346] Account admin already exists
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,419 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:367] Account Federator already exists
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,443 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:388] Dataset for external objects already exists
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,481 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:401] Namespace for federated objects already exists
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,485 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: REGISTER_DATACLAY_CLASSES
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,488 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: REGISTER_DATACLAY_CLASSES=null
