Attaching to dataclay_logicmodule_1
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,600 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3588] Got execution environments: {51c0ada8-0a42-471c-907c-83c36e0973e6=[EE/DS1/172.29.0.4:6867]}
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,639 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3437] Registering object explicit call: {oid = 6cda025b-e6e3-43a9-b053-2201270511e3, classID = 0fa3d95e-076c-4cab-ba08-816236c3a99e, storeSessionID = b22e72e4-d763-40af-91f6-cf6b9711e581, dataSetId = null} and alias MeatbagMeeting
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,639 DEBUG [LogicModule] [LM-1-thread-2] [SessionManager:205] Session found in cache: b22e72e4-d763-40af-91f6-cf6b9711e581
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,639 DEBUG [LogicModule] [LM-1-thread-2] [SessionManager:214] Creating new session info: b22e72e4-d763-40af-91f6-cf6b9711e581
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,639 DEBUG [util.Configuration] [LM-1-thread-2] [Configuration$Flags:441] Looking for env variable set in global.properties: READONLY_BY_DEFAULT
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,640 DEBUG [util.Configuration] [LM-1-thread-2] [Configuration$Flags:480] Not found environment variable set in global.properties, using default: READONLY_BY_DEFAULT=false
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,640 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:222] Alias MeatbagMeeting not found in cache.
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,659 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:342] Registering object 6cda025b-e6e3-43a9-b053-2201270511e3 with alias: MeatbagMeeting and language LANG_PYTHON.
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,660 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:358] [==Register object==] Updating cache of metadatas: 6cda025b-e6e3-43a9-b053-2201270511e3 -> [objectID = 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5, classID = 0fa3d95e-076c-4cab-ba08-816236c3a99e, dataSetID = 043b4abf-48eb-46e0-b835-cfdf7f03e7d8, locations = [51c0ada8-0a42-471c-907c-83c36e0973e6], isReadOnly = false, aliases = MeatbagMeeting, language = LANG_PYTHON, owner = d0b33a15-9e3a-4044-9a63-f2c384911800]
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,661 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3491] Notifying garbage collectors reference counting: {6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5=1}
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,662 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:1476] Retrieval of ObjectBasicMetaData for 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
[36mlogicmodule_1  |[0m 2020-04-29T18:42:51,662 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:1497] Found metadata [objectID = 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5, classID = 0fa3d95e-076c-4cab-ba08-816236c3a99e, dataSetID = 043b4abf-48eb-46e0-b835-cfdf7f03e7d8, locations = [51c0ada8-0a42-471c-907c-83c36e0973e6], isReadOnly = false, aliases = MeatbagMeeting, language = LANG_PYTHON, owner = d0b33a15-9e3a-4044-9a63-f2c384911800] in cache for 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
[36mlogicmodule_1  |[0m 2020-04-29T18:42:53,107 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3588] Got execution environments: {447da477-129e-4012-baf3-2d8a669fe268=[EE/DS1/172.29.0.3:2127]}
[36mlogicmodule_1  |[0m 2020-04-29T18:42:53,198 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3588] Got execution environments: {51c0ada8-0a42-471c-907c-83c36e0973e6=[EE/DS1/172.29.0.4:6867]}
[36mlogicmodule_1  |[0m 2020-04-29T18:42:53,267 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:1476] Retrieval of ObjectBasicMetaData for 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
[36mlogicmodule_1  |[0m 2020-04-29T18:42:53,267 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:1497] Found metadata [objectID = 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5, classID = 0fa3d95e-076c-4cab-ba08-816236c3a99e, dataSetID = 043b4abf-48eb-46e0-b835-cfdf7f03e7d8, locations = [51c0ada8-0a42-471c-907c-83c36e0973e6], isReadOnly = false, aliases = MeatbagMeeting, language = LANG_PYTHON, owner = d0b33a15-9e3a-4044-9a63-f2c384911800] in cache for 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,053 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3437] Registering object explicit call: {oid = 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5, classID = 0fa3d95e-076c-4cab-ba08-816236c3a99e, storeSessionID = fdc464c7-b35e-4c2c-b73c-00fca1b761b7, dataSetId = null} and alias null
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,054 DEBUG [LogicModule] [LM-1-thread-2] [SessionManager:205] Session found in cache: fdc464c7-b35e-4c2c-b73c-00fca1b761b7
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,054 DEBUG [LogicModule] [LM-1-thread-2] [SessionManager:214] Creating new session info: fdc464c7-b35e-4c2c-b73c-00fca1b761b7
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,055 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:342] Registering object 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5 with alias: null and language LANG_JAVA.
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,057 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:349] Object 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5 already registered
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,057 DEBUG [exceptions] [LM-1-thread-2] [Utils:1772] [==EXCEPTION==] Sending DataClayException GRPC response: 
[36mlogicmodule_1  |[0m es.bsc.dataclay.exceptions.metadataservice.ObjectAlreadyRegisteredException: Object 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5 is already registered
[36mlogicmodule_1  |[0m 	at es.bsc.dataclay.metadataservice.MetaDataService.registerObject(MetaDataService.java:351) ~[dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at es.bsc.dataclay.logic.LogicModule.registerObject(LogicModule.java:3467) ~[dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at es.bsc.dataclay.communication.grpc.services.logicmodule.LogicModuleService.registerObject(LogicModuleService.java:1753) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at es.bsc.dataclay.communication.grpc.generated.logicmodule.LogicModuleGrpc$MethodHandlers.invoke(LogicModuleGrpc.java:8390) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at io.grpc.stub.ServerCalls$UnaryServerCallHandler$UnaryServerCallListener.onHalfClose(ServerCalls.java:172) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at io.grpc.internal.ServerCallImpl$ServerStreamListenerImpl.halfClosed(ServerCallImpl.java:331) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at io.grpc.internal.ServerImpl$JumpToApplicationThreadServerStreamListener$1HalfClosed.runInContext(ServerImpl.java:814) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at io.grpc.internal.ContextRunnable.run(ContextRunnable.java:37) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at io.grpc.internal.SerializingExecutor.run(SerializingExecutor.java:123) [dataclay.jar:?]
[36mlogicmodule_1  |[0m 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149) [?:1.8.0_252]
[36mlogicmodule_1  |[0m 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624) [?:1.8.0_252]
[36mlogicmodule_1  |[0m 	at java.lang.Thread.run(Thread.java:748) [?:1.8.0_252]
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,103 INFO [LogicModule] [LM-1-thread-2] [LogicModule:4662] Starting new version for object 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,104 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:1476] Retrieval of ObjectBasicMetaData for 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
[36mlogicmodule_1  |[0m 2020-04-29T18:42:54,104 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:1497] Found metadata [objectID = 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5, classID = 0fa3d95e-076c-4cab-ba08-816236c3a99e, dataSetID = 043b4abf-48eb-46e0-b835-cfdf7f03e7d8, locations = [51c0ada8-0a42-471c-907c-83c36e0973e6], isReadOnly = false, aliases = MeatbagMeeting, language = LANG_PYTHON, owner = d0b33a15-9e3a-4044-9a63-f2c384911800] in cache for 6b3a7058-0fb1-334a-a9d7-b7bcaae5a5a5
